Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
0.9316951632499695,0.9610757827758789,0.24746739864349365,0.17081880569458008
0.9331069588661194,0.9612424373626709,0.24364380538463593,0.16971276700496674
0.9340962767601013,0.9615606069564819,0.2422695755958557,0.16788478195667267
0.9342700242996216,0.9616060853004456,0.24108834564685822,0.16735491156578064
0.9354491829872131,0.9621211886405945,0.23797301948070526,0.1659005582332611
0.9359973073005676,0.9627424478530884,0.23723945021629333,0.16474531590938568
0.9368556141853333,0.9625757336616516,0.23423928022384644,0.1642492115497589
0.9377513527870178,0.9627272486686707,0.23069244623184204,0.16271905601024628
0.9380828738212585,0.9627727270126343,0.22953787446022034,0.162084698677063
0.9386577606201172,0.9633636474609375,0.22790095210075378,0.16159868240356445
0.9397326111793518,0.9631515145301819,0.22464025020599365,0.16052356362342834
0.9399785995483398,0.9635757803916931,0.22398069500923157,0.15907101333141327
0.9405080080032349,0.963787853717804,0.22366520762443542,0.15859352052211761
0.9403983950614929,0.9639090895652771,0.22149354219436646,0.15798702836036682
0.941631019115448,0.9635000228881836,0.21905024349689484,0.15724831819534302
0.9410855770111084,0.9641363620758057,0.2189807891845703,0.1561821699142456
0.9416443705558777,0.9640454649925232,0.2186659574508667,0.15543387830257416
0.9423636198043823,0.9643181562423706,0.21668741106987,0.154473677277565
0.9428315758705139,0.9645757675170898,0.21436595916748047,0.15419331192970276
0.9430882334709167,0.9645151495933533,0.2134266197681427,0.15288199484348297
0.9431818127632141,0.9646211862564087,0.21337023377418518,0.15217900276184082
0.9435481429100037,0.965181827545166,0.21170586347579956,0.15161378681659698
0.9434572458267212,0.9646818041801453,0.2107895463705063,0.1519148200750351
0.9443636536598206,0.9647272825241089,0.20938879251480103,0.15114761888980865
0.9447860717773438,0.9654545187950134,0.2075842320919037,0.15039397776126862
0.944598913192749,0.965363621711731,0.20823784172534943,0.14964888989925385
0.9450641870498657,0.9653787612915039,0.2068767249584198,0.14947563409805298
0.9455374479293823,0.9656363725662231,0.20413252711296082,0.14867673814296722
0.9460026621818542,0.9659394025802612,0.20299766957759857,0.1486397683620453
0.9460722208023071,0.9660000205039978,0.203618124127388,0.14872859418392181
0.9464117884635925,0.9659394025802612,0.20238681137561798,0.14720816910266876
0.9457861185073853,0.9660302996635437,0.2021903395652771,0.14717704057693481
0.947002649307251,0.9662575721740723,0.20066344738006592,0.1472710520029068
0.9469786286354065,0.9661211967468262,0.20040230453014374,0.14698301255702972
0.9470722079277039,0.9661515355110168,0.1989680677652359,0.14552418887615204
0.9476283192634583,0.9660000205039978,0.19733421504497528,0.14624279737472534
0.9477567076683044,0.9659394025802612,0.19748984277248383,0.14533190429210663
0.947141706943512,0.9662727117538452,0.19697533547878265,0.1447867602109909
0.9479411840438843,0.9659545421600342,0.19650301337242126,0.1450880467891693
0.9480080008506775,0.9664393663406372,0.19521282613277435,0.14473176002502441
0.9481684565544128,0.9666818380355835,0.19433726370334625,0.14532193541526794
0.9491443634033203,0.96710604429245,0.1925005167722702,0.14339898526668549
0.9487379789352417,0.9666666388511658,0.1930408477783203,0.1432853788137436
0.9484705924987793,0.9670302867889404,0.1930711418390274,0.1428639143705368
0.9488983750343323,0.9668636322021484,0.19249139726161957,0.1418987214565277
0.9487165808677673,0.966939389705658,0.19214420020580292,0.14255189895629883
0.9493101835250854,0.9669696688652039,0.19114015996456146,0.14118486642837524
0.9491122961044312,0.9670454263687134,0.19096639752388,0.14109459519386292
0.9492112398147583,0.96757572889328,0.18923932313919067,0.14094707369804382
0.9495160579681396,0.9673939347267151,0.18967461585998535,0.1405462920665741
0.9501256942749023,0.9673030376434326,0.1881495714187622,0.1404440701007843
0.9498743414878845,0.9673181772232056,0.18817009031772614,0.1408640742301941
0.9500133395195007,0.9675454497337341,0.18741974234580994,0.13991767168045044
0.9504465460777283,0.9676969647407532,0.1857031136751175,0.14007191359996796
0.9505000114440918,0.967424213886261,0.1858675479888916,0.14068348705768585
0.9509438276290894,0.9678333401679993,0.1846008002758026,0.13930635154247284
0.9509545564651489,0.9678939580917358,0.18408626317977905,0.13902181386947632
0.9507299661636353,0.9677121043205261,0.18470852077007294,0.13871446251869202
0.951133668422699,0.9677727222442627,0.18345114588737488,0.1391122043132782
0.9511818289756775,0.9680606126785278,0.18330742418766022,0.13838599622249603
0.9512540102005005,0.9679545164108276,0.18319657444953918,0.1392156183719635
0.9512219429016113,0.9677727222442627,0.18242326378822327,0.13758061826229095
0.9515721797943115,0.9679393768310547,0.18192467093467712,0.1381908506155014
0.9514224529266357,0.9678636193275452,0.18153592944145203,0.1382325291633606
0.9517540335655212,0.9682575464248657,0.18057256937026978,0.13804207742214203
